"sexo";"nacimiento";"estatura";"peso";"grupo_rh"
"M";"1968-11-05";1.74;75.8;"B+"
"M";"1991-04-25";1.89;79.9;"B+"
"M";"1980-02-12";1.63;73.8;"B+"
"F";"1983-02-16";1.54;70.5;"AB+"
"M";"1975-02-01";2.07;52.8;"O+"
"M";"1993-02-01";1.65;86.5;"B+"
"F";"1973-02-28";1.59;81.4;"O-"
"M";"1984-08-26";1.7;77.6;"B+"
"M";"1978-06-10";1.61;63.2;"A+"
"M";"1977-11-26";1.57;81.1;"A+"
"M";"1969-05-21";1.87;76.5;"A+"
"F";"1977-04-22";1.67;61.7;"O+"
"F";"1974-07-19";1.56;68.9;"AB-"
"M";"1973-11-08";1.63;72;"A+"
"M";"1979-05-05";1.69;65.6;"O+"
"F";"1981-03-22";1.71;68.8;"AB+"
"M";"1986-10-17";1.66;68.5;"O+"
"F";"1976-07-18";1.68;82.1;"O+"
"M";"1976-03-25";1.7;69.3;"B+"
"M";"1978-09-25";1.67;75.4;"O+"
"M";"1972-11-16";2.11;61.4;"A+"
"M";"1985-11-25";1.47;59.2;"A+"
"M";"1981-04-10";1.41;75.2;"A-"
"F";"1979-09-08";1.59;72.1;"B+"
"F";"1975-08-03";1.55;84.8;"A+"
"M";"1972-07-12";1.96;64.6;"B+"
"F";"1985-08-04";1.73;69.8;"B+"
"F";"1982-10-11";1.61;59.4;"B+"
"F";"1979-08-03";1.4;63.3;"A+"
"M";"1982-06-04";1.75;70.1;"A+"
"F";"1992-04-08";1.61;81;"B+"
"F";"1983-03-06";1.65;57.4;"O+"
"M";"1980-11-28";1.63;75.6;"A+"
"M";"1987-02-09";1.68;68.3;"A+"
"M";"1980-02-09";1.58;69.3;"B+"
"M";"1988-10-27";1.62;63.2;"O+"
"F";"1984-08-08";1.65;65.4;"O-"
"F";"1974-04-24";1.53;59.5;"O+"
"M";"1977-11-12";1.93;78.1;"O+"
"M";"1993-10-11";2.07;71.3;"B+"
"F";"1978-07-04";1.5;81.2;"O+"
"F";"1975-04-25";1.64;69.8;"O-"
"M";"1993-05-05";1.8;58.1;"A+"
"M";"1978-07-27";1.7;80.3;"A+"
"M";"1979-04-05";1.65;70.3;"A+"
"F";"1980-09-01";1.36;89.3;"AB+"
"M";"1978-03-10";1.61;75.7;"B+"
"F";"1988-04-15";1.89;71;"B+"
"F";"1973-11-22";1.84;78.8;"A+"
"M";"1975-02-03";1.64;69.3;"A+"
"M";"1983-03-20";1.41;52.9;"B-"
"F";"1982-05-21";1.7;89.9;"A+"
"F";"1985-09-28";1.68;89.4;"A+"
"F";"1975-04-12";1.69;79.4;"B+"
"F";"1982-03-07";1.67;60.7;"A+"
"F";"1968-09-07";1.63;75.3;"B+"
"F";"1989-11-05";1.56;82.6;"A-"
"F";"1981-05-13";1.59;74.9;"O+"
"M";"1980-03-21";1.72;94.4;"A+"
"M";"1984-02-23";2.01;65.7;"B+"
"M";"1991-05-18";1.91;74.1;"O+"
"M";"1977-08-24";1.69;85;"A+"
"F";"1985-07-06";1.71;65.6;"B+"
"M";"1973-11-25";1.61;74.2;"A+"
"M";"1971-05-15";1.35;59.3;"O-"
"F";"1973-07-20";1.69;67;"B+"
"F";"1972-02-08";1.42;73.7;"B-"
"M";"1975-04-21";1.7;75.1;"A+"
"F";"1977-09-23";1.43;66.6;"B+"
"F";"1962-05-19";1.64;42.7;"A+"
"M";"1974-11-02";1.38;56.3;"B+"
"F";"1958-07-27";1.5;44.7;"B+"
"M";"1972-03-24";1.34;59.4;"B+"
"F";"1985-07-24";2.07;82.5;"A+"
"M";"1983-10-27";1.74;77.6;"O+"
"F";"1991-04-01";1.58;81.5;"B+"
"F";"1983-08-06";1.49;65.6;"B-"
"F";"1980-04-09";1.63;81.1;"B+"
"F";"1991-03-21";1.59;72.6;"A+"
"M";"1992-04-17";1.66;70.9;"O+"
"M";"1974-03-22";1.98;75.4;"AB+"
"M";"1977-11-15";1.51;71;"A+"
"F";"1980-05-10";1.87;61.4;"O+"
"F";"1983-06-25";1.57;55.9;"B+"
"M";"1984-07-11";1.77;45.3;"O+"
"M";"1989-07-27";1.77;77.6;"A+"
"F";"1981-04-07";1.25;70;"O+"
"M";"1975-02-10";1.49;65.1;"A+"
"M";"1974-09-27";1.89;63.3;"O+"
"F";"1991-08-23";1.63;61.5;"A+"
"F";"1986-06-24";1.56;76.6;"A-"
"M";"1974-06-16";1.66;65.6;"A+"
"M";"1986-05-21";1.85;68.1;"A+"
"F";"1978-03-24";1.9;63.5;"B-"
"M";"1970-03-16";1.89;67.6;"O-"
"M";"1982-03-27";1.67;86.4;"O+"
"M";"1974-09-12";1.88;79.3;"O+"
"M";"1976-09-11";1.7;42.7;"O+"
"M";"1982-03-12";1.78;67.8;"O+"
"M";"1989-02-07";1.53;77.9;"O+"
"F";"1983-11-11";1.3;82.8;"A-"
"M";"1973-02-22";1.39;63.6;"O+"
"F";"1973-04-23";1.58;62.7;"O+"
"M";"1987-04-23";1.68;57.1;"O+"
"F";"1979-08-10";1.6;68;"A+"
"F";"1985-08-10";1.51;71.9;"O+"
"F";"1986-11-26";1.48;74.6;"O-"
"F";"1979-06-20";1.38;69.9;"O-"
"M";"1976-09-20";1.47;70.7;"O-"
"M";"1993-11-07";1.89;83.8;"B+"
"M";"1973-07-14";1.61;75.6;"A+"
"F";"1982-02-01";1.45;68.8;"O+"
"F";"1980-03-18";1.42;49.5;"B+"
"F";"1997-02-05";1.36;77.1;"O+"
"M";"1975-05-15";1.88;71.9;"B+"
"F";"1991-07-14";1.34;67.5;"O-"
"F";"1979-08-05";1.61;90;"B+"
"M";"1982-08-27";1.49;79.6;"B+"
"M";"1980-09-24";1.51;61.3;"O+"
"F";"1990-11-05";1.78;56.3;"A+"
"F";"1972-06-22";1.27;59.4;"B-"
"M";"1977-11-24";1.66;80.2;"O-"
"M";"1980-03-18";1.48;85.4;"O+"
"M";"1994-09-24";1.59;93.9;"O+"
"M";"1975-10-24";1.38;69.5;"O+"
"M";"1988-11-17";1.51;60.2;"A+"
"F";"1980-11-07";1.59;70.7;"B+"
"M";"1984-10-27";1.69;49.7;"B-"
"M";"1981-07-08";1.75;66.4;"AB+"
"F";"1972-03-11";1.48;64.9;"O+"
"F";"1978-11-12";1.87;58.7;"A+"
"M";"1975-07-13";1.84;60.8;"O+"
"M";"1979-08-09";2.01;72.9;"A+"
"M";"1985-06-03";1.62;54.4;"O+"
"F";"1979-11-11";1.47;65.5;"B+"
"F";"1978-11-20";1.66;81.2;"O+"
"F";"1984-08-09";1.6;86.4;"B-"
"F";"1979-05-16";1.76;79;"B+"
"F";"1979-02-02";1.73;76.1;"A+"
"F";"1986-04-06";1.82;82.7;"O+"
"F";"1972-09-02";1.43;49.9;"O-"
"F";"1970-05-06";1.65;61;"A+"
"M";"1981-11-13";1.99;75.8;"O+"
"M";"1977-03-09";1.41;56.4;"A+"
"F";"1979-11-05";1.43;77.2;"B+"
"F";"1978-11-08";1.46;64.1;"O+"
"F";"1989-02-08";1.73;62.4;"O+"
"F";"1978-05-28";1.69;68.9;"O+"
"F";"1982-09-01";1.54;64.7;"A+"
"M";"1988-11-03";1.67;65.9;"O+"
"M";"1980-11-08";1.62;92.8;"B+"
"M";"1995-08-19";1.72;93.5;"O+"
"M";"1990-05-19";1.47;78.3;"A+"
"F";"1993-05-18";1.76;73.2;"O+"
"M";"1980-05-19";1.44;68.6;"A+"
"F";"1987-03-08";1.58;64.4;"A+"
"M";"1981-05-23";1.8;58;"O+"
"F";"1977-08-19";1.58;59.1;"O+"
"F";"1969-07-17";1.55;65.3;"B+"
"F";"1988-06-09";1.58;66.2;"A+"
"F";"1981-02-23";1.53;81.5;"O+"
"F";"1971-03-14";1.46;74.4;"A+"
"F";"1981-11-24";1.55;65.6;"B+"
"F";"1981-05-28";1.71;60;"A+"
"M";"1977-05-02";1.79;72.5;"A+"
"M";"1983-11-14";1.61;75.4;"O-"
"M";"1976-07-17";2.12;72.3;"A+"
"F";"1982-04-02";1.89;78.4;"AB+"
"F";"1981-04-04";1.41;77.7;"O+"
"M";"1979-04-02";1.99;61.4;"A+"
"F";"1982-09-19";1.44;56.6;"O+"
"F";"1984-03-07";1.71;56.1;"O+"
"M";"1989-05-14";1.51;88;"O+"
"F";"1983-05-01";1.57;49.6;"B+"
"M";"1984-08-06";1.47;64.3;"A+"
"F";"1986-11-26";1.43;97.1;"B+"
"F";"1973-07-15";1.42;87.4;"B+"
"F";"1979-06-08";1.42;68.1;"AB+"
"M";"1991-07-17";1.45;80.9;"O+"
"M";"1992-09-11";1.46;72;"O-"
"F";"1984-06-26";1.43;77.5;"O+"
"M";"1979-11-08";1.64;66.3;"B+"
"M";"1981-09-03";1.58;63.4;"O-"
"M";"1986-10-28";2.05;69.6;"O+"
"F";"1979-09-19";1.57;75.4;"O+"
"M";"1989-08-18";1.82;76.5;"A+"
"F";"1982-04-07";1.65;67.6;"B+"
"M";"1977-03-28";1.4;82.9;"B+"
"F";"1975-02-06";1.54;79.9;"O+"
"M";"1972-09-07";1.61;78.3;"AB+"
"F";"1980-07-06";1.37;58.5;"AB+"
"F";"1980-05-13";1.48;63;"A+"
"M";"1983-05-17";1.53;68.4;"O+"
"M";"1978-05-09";1.86;61.7;"O+"
"M";"1980-07-10";1.56;68.3;"O+"
"M";"1981-07-11";1.81;67.8;"A+"
"F";"1973-11-12";2.05;68.4;"O+"
"M";"1979-10-11";1.23;76.5;"O+"
"M";"1980-08-20";1.58;57;"A+"
"F";"1972-09-26";1.71;70.7;"O+"
"M";"1972-04-14";1.81;80.3;"B+"
"F";"1981-03-04";1.43;59.9;"O+"
"F";"1982-02-22";1.55;74.8;"AB+"
"M";"1983-09-09";1.57;57.2;"O-"
"M";"1987-09-03";1.34;50.2;"A+"
"M";"1984-04-23";2.1;83.1;"O+"
"F";"1981-05-15";1.38;79.8;"A+"
"F";"1992-06-26";1.59;89.2;"O-"
"F";"1985-11-08";1.65;86.3;"AB+"
"F";"1962-06-01";1.33;60;"A+"
"M";"1986-08-06";1.68;62;"A+"
"F";"1979-10-24";1.45;78.2;"B+"
"F";"1969-09-18";1.46;77.8;"O-"
"F";"1987-03-16";1.44;73.8;"AB+"
"M";"1976-04-27";1.89;81.8;"A+"
"F";"2001-10-01";1.3;64.3;"A+"
"F";"1982-03-15";1.85;48.2;"A+"
"F";"1993-09-03";1.58;68.1;"O+"
"M";"1974-10-22";1.82;88.1;"AB+"
"M";"1976-09-09";1.74;61.5;"A+"
"F";"1985-10-05";1.51;78.8;"B+"
"F";"1992-05-20";1.59;70.1;"A+"
"F";"1972-11-27";1.39;81.2;"A+"
"M";"1981-05-02";1.87;67.1;"B+"
"M";"1984-03-01";1.81;64.2;"B+"
"F";"1977-11-11";1.39;72.3;"O+"
"F";"1968-06-16";1.51;73.9;"O+"
"M";"1979-07-28";1.47;76.1;"O+"
"M";"1986-06-08";1.86;73.8;"O+"
"M";"1998-05-28";1.42;58.7;"O+"
"M";"1984-08-18";1.48;82.7;"B-"
"F";"1987-04-01";1.53;82.6;"A+"
"M";"1966-04-17";1.75;39.1;"B+"
"M";"1978-06-20";1.69;75.5;"A+"
"F";"1976-06-12";1.51;47.7;"O+"
"F";"1975-06-16";1.37;70.7;"B+"
"F";"1965-10-25";1.29;70.2;"A+"
"M";"1985-10-04";1.59;64.1;"O+"
"M";"1978-04-26";1.61;76.3;"O+"
"M";"1981-02-15";1.39;78.1;"A+"
"F";"1972-05-13";1.5;69.9;"O+"
"M";"1982-11-13";1.44;80.9;"A+"
"M";"1988-02-07";1.84;63.9;"A+"
"F";"1982-08-27";1.63;73.6;"O+"
"F";"1970-02-12";1.6;83.8;"O+"
"F";"1984-03-11";1.76;56.9;"O+"
"M";"1978-11-04";2.26;71.7;"O+"
"M";"1981-11-12";1.51;84.4;"A+"
"M";"1982-06-15";1.91;63.2;"O-"
"F";"1971-10-07";1.55;86.7;"B+"
"F";"1972-02-06";1.72;82;"O+"
"M";"1982-11-13";1.52;71.6;"A+"
"M";"1973-02-04";1.53;80.5;"O+"
"F";"1968-10-15";1.28;61.7;"A+"
"F";"1978-05-01";1.8;63.2;"A+"
"M";"1981-08-22";1.46;65.8;"A+"
"F";"1981-06-02";1.76;73.1;"A+"
"F";"1969-02-26";1.87;62.6;"B+"
"M";"1976-04-27";1.93;70.7;"A+"
"F";"1972-09-08";1.53;66.1;"A+"
"M";"1975-07-01";1.85;71.8;"O+"
"M";"1974-04-03";1.81;64.5;"A+"
"F";"1975-03-20";1.31;73.9;"A+"
"M";"1975-09-27";1.82;72.7;"B+"
"M";"1986-05-11";1.52;56.8;"A+"
"F";"1976-11-03";1.31;71.4;"A+"
"M";"1973-10-17";2;59.1;"O+"
"F";"1981-06-26";1.28;76.7;"A+"
"M";"1983-04-01";1.48;73.6;"A+"
"F";"1984-05-19";1.39;49.3;"O+"
"F";"1987-09-09";1.49;58.2;"O+"
"M";"1980-08-03";1.96;81.5;"B+"
"M";"1965-02-01";1.66;63.9;"A+"
"M";"1982-05-07";1.94;88.5;"O+"
"F";"1985-06-02";1.9;67.7;"B+"
"M";"1978-09-15";1.33;66;"B+"
"M";"1973-11-14";1.67;68.3;"B+"
"F";"1976-07-26";1.51;71.6;"A-"
"F";"1995-11-17";1.63;62.5;"O+"
"M";"1977-04-09";1.71;69.7;"B+"
"M";"1983-06-13";1.76;80.9;"B+"
"F";"1972-10-11";1.59;85;"O+"
"M";"2000-08-15";1.41;59.7;"O+"
"F";"1974-10-04";1.63;84.5;"AB+"
"F";"1982-08-17";1.54;70.7;"A+"
"F";"1982-07-24";1.71;53.6;"O-"
"F";"1978-11-03";1.54;76.2;"O+"
"F";"1984-11-13";1.58;58.6;"O+"
"F";"1987-10-10";1.74;49.4;"A+"
"F";"1980-11-09";1.51;74.1;"O+"
"M";"1977-09-24";1.72;73.4;"B+"
"F";"1987-09-23";1.74;66.6;"B+"
"M";"1976-07-28";1.97;71.1;"A+"
"F";"1983-08-27";1.52;75.2;"O+"
"F";"1984-11-16";1.66;67.3;"O+"
"M";"1977-05-18";1.87;60.7;"O+"
"F";"1969-09-09";1.89;70.1;"O+"
"F";"1989-08-01";1.76;70.2;"O+"
"F";"1975-11-17";1.63;73.2;"O+"
"F";"1983-04-06";1.74;62;"O+"
"M";"1991-03-20";1.64;50.3;"O+"
"F";"1966-05-01";1.38;72.3;"O+"
"M";"1987-07-22";1.54;62.1;"O+"
"M";"1980-04-04";1.76;76.4;"O+"
"F";"1969-10-24";1.32;73.4;"B+"
"F";"1976-03-24";1.45;68.8;"O+"
"F";"1988-11-19";1.61;67.8;"B+"
"M";"1981-06-21";1.52;68.5;"O-"
"M";"1973-02-21";1.59;60;"A+"
"F";"1984-06-13";1.54;63.5;"B+"
"M";"1976-03-13";1.69;44.2;"AB+"
"M";"1988-09-21";1.41;66.6;"B+"
"F";"1973-08-02";1.47;74.1;"A-"
"F";"1985-06-04";1.58;55.6;"B+"
"M";"1983-07-25";1.82;78.9;"O+"
"F";"1970-09-19";1.58;48.2;"B+"
"F";"1974-03-03";1.49;70.4;"A+"
"M";"1983-06-06";1.59;92.2;"O+"
"F";"1974-08-09";1.53;81.9;"AB+"
"M";"1987-10-15";1.45;51.7;"B-"
"F";"1979-02-22";1.48;84.1;"O+"
"M";"1978-02-16";1.52;76.1;"A+"
"M";"1973-09-17";1.58;76.2;"A+"
"F";"1977-02-27";1.46;75.1;"B+"
"F";"1967-04-17";1.35;91.3;"AB+"
"M";"1982-03-10";2.12;79.8;"A+"
"M";"1970-05-23";1.74;52.8;"O+"
"F";"1984-04-28";1.5;74.5;"O+"
"F";"1983-08-09";1.73;83;"B-"
"F";"1975-06-13";1.37;57.5;"O+"
"F";"1977-10-17";1.71;64.1;"A+"
"M";"1977-03-28";1.72;73.4;"B+"
"M";"1987-10-13";1.68;71.7;"O+"
"M";"1981-09-11";1.73;50.1;"B+"
"F";"1977-07-08";1.44;62.8;"B+"
"F";"1988-07-09";1.56;59.3;"A+"
"M";"1985-05-26";1.58;65.1;"A+"
"M";"1978-04-14";2;69;"O+"
"F";"1991-08-25";1.61;75.1;"AB+"
"F";"1986-05-05";1.19;62.4;"AB+"
"M";"1990-06-13";1.46;63.1;"A+"
"F";"1970-10-09";1.49;73.9;"A+"
"M";"1989-10-09";1.5;66.6;"A+"
"M";"1990-07-19";1.75;69;"AB+"
"F";"1976-10-17";1.71;84.5;"A+"
"F";"1982-06-10";1.64;74.3;"O+"
"M";"1982-07-13";1.75;71.7;"O+"
"M";"1980-06-01";1.62;71.4;"B+"
"F";"1972-09-09";1.49;79.6;"O+"
"M";"1966-03-08";1.71;59.4;"A+"
"F";"1983-07-11";1.67;56.7;"O+"
"M";"1980-06-22";1.62;63.7;"O-"
"F";"1964-02-10";1.61;56.8;"O+"
"F";"1988-08-13";1.66;60.2;"O+"
"M";"1978-07-21";1.85;74.8;"O+"
"F";"1975-09-07";1.7;66.2;"O+"
"F";"1990-09-12";1.84;63.9;"B+"
"F";"1976-11-07";1.43;70.2;"AB+"
"M";"1983-04-13";1.55;69.7;"B+"
"F";"1992-06-04";1.55;69.5;"O+"
"F";"1976-04-06";1.65;77.2;"A+"
"F";"1973-11-15";1.33;65.5;"B+"
"F";"1987-10-13";1.56;84.4;"B+"
"F";"1983-02-04";1.41;81.2;"B+"
"F";"1975-07-22";1.5;67.7;"A+"
"M";"1964-07-18";1.82;67;"O+"
"M";"1978-09-28";1.52;69.4;"AB+"
"F";"1977-06-20";1.66;74;"O+"
"M";"1987-09-17";1.65;64.4;"A+"
"F";"1966-08-05";1.51;74.4;"A+"
"M";"1982-11-09";1.39;73.3;"O+"
"F";"1967-11-05";1.67;67.1;"O-"
"M";"1973-02-08";1.5;87.5;"A+"
"F";"1982-06-17";1.25;77.2;"O+"
"F";"1979-09-04";1.38;75.8;"O+"
"F";"1986-08-07";1.69;77.7;"A+"
"M";"1971-03-21";1.46;86.2;"O+"
"F";"1988-06-14";1.57;83.5;"B+"
"F";"1983-05-11";1.65;60.9;"B+"
"M";"1969-06-09";1.49;74.3;"A+"
"M";"1973-06-18";1.67;57.3;"B+"
"M";"1984-11-01";1.82;78.8;"O+"
"F";"1983-03-03";1.38;57.5;"O+"
"F";"1975-02-24";1.75;53.2;"A+"
"F";"1976-05-03";1.37;75.8;"A+"
"M";"1983-02-06";1.41;73.5;"A+"
"F";"1982-08-03";1.45;79.5;"A+"
"F";"1977-02-21";1.58;49.7;"A+"
"F";"1979-05-24";1.38;55.6;"AB+"
"M";"1978-06-20";1.71;74;"O+"
"M";"1981-11-07";1.44;50.5;"A+"
"F";"1995-08-22";1.73;56.9;"B+"
"M";"1979-05-16";1.39;66;"A+"
"M";"1988-05-28";1.9;54.9;"A+"
"F";"1983-03-04";1.65;76.7;"O+"
"M";"1981-03-04";1.86;72;"O+"
"F";"1974-04-04";1.54;69.1;"O+"
"M";"1981-02-05";2.13;65.5;"O+"
"F";"1982-04-06";1.71;62.6;"B+"
"M";"1981-02-07";1.53;72.6;"B+"
"M";"1978-02-11";1.79;77.9;"O+"
"F";"1975-05-04";1.5;72;"O+"
"M";"1991-07-01";1.57;78.6;"O+"
"F";"1968-03-07";1.93;73.3;"A+"
"F";"1990-06-13";1.73;56.4;"B+"
"F";"1969-10-18";1.6;82.2;"O+"
"M";"1986-07-16";1.68;68.9;"B+"
"F";"1979-06-08";1.51;88.6;"A+"
"F";"1992-09-16";1.62;60.8;"O+"
"F";"1982-05-14";1.7;65.4;"O+"
"M";"1973-08-13";1.77;87;"O+"
"M";"1978-11-01";1.86;72.1;"AB+"
"M";"1970-06-19";1.5;93.5;"O+"
"M";"1986-09-27";1.4;58.4;"B+"
"F";"1986-10-22";1.45;59.5;"B+"
"M";"1979-05-07";1.7;71.5;"O+"
"F";"1976-07-01";1.34;68.2;"O+"
"M";"1984-08-24";1.53;81.3;"B+"
"M";"1987-06-21";1.82;67.3;"O+"
"F";"1974-02-12";1.56;77.3;"O+"
"F";"1979-05-15";1.49;71.4;"O+"
"F";"1965-11-16";1.57;65.8;"B+"
"M";"1978-06-23";1.36;64.7;"A+"
"M";"1966-03-23";1.69;76.6;"O+"
"F";"1981-07-04";1.59;68.7;"B+"
"F";"1981-06-05";1.66;85.5;"A+"
"F";"1975-03-22";1.42;73.9;"A+"
"M";"1969-02-12";1.92;63.4;"O+"
"M";"1987-11-12";1.85;74.7;"O+"
"F";"1983-06-28";1.66;77.1;"A+"
"M";"1981-02-27";1.71;67.4;"B+"
"M";"1988-09-18";1.68;81.8;"A+"
"F";"1978-07-18";1.62;48.8;"A+"
"M";"1975-04-21";1.53;73.9;"AB+"
"F";"1993-11-22";1.44;78.8;"A+"
"F";"1978-10-17";1.74;82.9;"A+"
"M";"1974-08-05";1.44;81.3;"O+"
"F";"1970-05-23";1.61;55.7;"B+"
"F";"1977-02-26";1.59;63.1;"O-"
"M";"1982-10-27";1.87;67.3;"B+"
"M";"1971-10-13";1.3;78.5;"O+"
"F";"1978-05-23";1.87;64.6;"A+"
"F";"1968-10-24";1.43;60.1;"A+"
"F";"1980-02-25";1.38;69.9;"B+"
"M";"1973-08-26";1.51;65.2;"O+"
"F";"1980-08-04";1.79;50.5;"O+"
"F";"1979-09-26";1.48;58.5;"A+"
"F";"1988-03-18";1.29;59.7;"A+"
"M";"1972-07-27";2.15;60.1;"A+"
"F";"1983-11-25";1.52;75;"B+"
"F";"1984-04-03";1.99;60.8;"AB+"
"F";"1977-10-19";1.47;67.2;"O-"
"M";"1975-04-02";1.67;82.8;"B+"
"M";"1981-04-17";1.81;59.7;"B+"
"M";"1980-10-04";1.65;76.6;"O+"
"M";"1974-08-16";1.9;75.8;"O+"
"M";"1990-02-18";1.77;65.2;"B+"
"F";"1972-05-10";1.7;50;"B+"
"M";"1983-06-23";1.78;75.6;"B+"
"F";"1977-06-22";1.62;63.6;"O+"
"M";"1976-09-23";1.86;80.5;"A+"
"M";"1975-04-01";1.85;86.2;"B+"
"F";"1984-05-27";1.41;53.8;"AB+"
"F";"1986-05-16";1.84;59.8;"A+"
"M";"1976-10-03";1.65;62.2;"AB+"
"F";"1974-02-25";1.22;64.9;"O-"
"F";"1981-06-22";1.71;90.5;"A+"
"F";"1981-07-07";1.51;79.6;"AB+"
"M";"1983-04-07";1.54;69.6;"A+"
"F";"1974-08-24";1.7;61.6;"B+"
"M";"1969-08-23";1.8;49.5;"O+"
"M";"1973-11-02";1.58;72.2;"A+"
"M";"1975-10-10";1.65;73.4;"O+"
"M";"1981-04-07";1.63;54.6;"A+"
"M";"1969-11-10";1.52;61.9;"O+"
"M";"1975-07-23";1.53;71.9;"A+"
"M";"1977-08-17";1.4;48.7;"B+"
"F";"1969-07-17";1.37;83.6;"B+"
"F";"1979-09-28";1.58;63.3;"O+"
"M";"1984-09-10";1.67;77.1;"O+"
"M";"1981-11-12";1.81;77.1;"AB+"
"M";"1980-05-25";1.72;59.3;"B+"
"F";"1979-05-10";1.54;84.7;"B+"
"M";"1977-04-24";1.65;69.1;"O+"
"F";"1983-11-25";1.53;53.2;"O+"
"M";"1973-02-21";1.77;70.3;"B+"
"M";"1981-05-27";1.7;66;"O-"
"M";"1981-10-12";1.36;76.8;"A+"
"M";"1973-04-08";1.57;76.3;"AB+"
"M";"1979-04-14";1.81;61.5;"B+"
"M";"1974-07-17";1.5;62.8;"O+"
"F";"1983-10-26";1.52;65.2;"O+"
"F";"1979-04-15";1.22;79.1;"O+"
"M";"1979-09-01";1.61;60.6;"O+"
"M";"1996-09-18";1.81;63.8;"O+"
"M";"1985-03-03";1.51;60;"A+"
"M";"1971-08-21";1.64;77.2;"AB+"
"F";"1968-11-04";1.57;51.6;"O+"
"F";"1987-06-23";1.42;65.9;"B-"
"M";"1976-04-03";1.59;66.5;"A+"
"F";"1973-02-20";1.53;85.2;"O+"
"M";"1984-10-09";1.77;70.3;"O+"
"M";"1970-03-08";1.52;61.6;"A+"
"M";"1993-03-28";1.61;58;"O+"
"M";"1983-03-08";1.53;68.5;"B+"
"M";"1984-02-11";1.72;84.3;"B+"
"M";"1978-04-02";1.78;77.2;"O+"
"M";"1981-05-08";1.44;73.3;"A+"
"F";"1986-03-08";1.48;70.5;"O+"
"M";"1988-04-20";1.63;59.1;"A+"
"M";"1985-02-25";1.59;81.3;"A+"
"M";"1982-11-01";1.69;67.6;"A+"
"F";"1991-06-19";1.45;73.7;"O+"
"F";"1980-05-05";1.64;63.7;"O+"
"M";"1985-11-20";1.42;56.6;"O+"
"F";"1972-09-26";1.48;60;"A+"
"M";"1980-02-20";1.53;75.3;"B+"
"F";"1978-05-15";1.5;87.1;"O+"
"M";"1983-09-26";1.72;81.4;"AB+"
"M";"1973-11-12";1.93;62.8;"O+"
"M";"1979-04-07";1.43;75.8;"B+"
"M";"1978-10-15";1.61;57.2;"O+"
"F";"1988-03-12";1.51;83.8;"B+"
"F";"1974-07-20";1.65;47.3;"O+"
"M";"1976-03-12";1.68;63.2;"O+"
"M";"1980-11-14";1.75;82.4;"B+"
